DateTime,DK,DE,CH,IT,AT,CZ
2017-01-01 00:00:00,-79.73,3486.25,-3403.37,-97.5,-2867.33,2961.68
2017-01-01 01:00:00,-109.14,4248.17,-3829.59,-105.9,-3149.98,2946.44
2017-01-01 02:00:00,-101.49,5314.56,-4131.66,-199.2,-3646.87,2764.66
2017-01-01 03:00:00,-197.96,5450.71,-4009.61,-656.0,-3345.56,2758.42
2017-01-01 04:00:00,-526.15,5695.72,-3924.43,-646.2,-3393.12,2794.18
2017-01-01 05:00:00,-742.36,5976.2,-3715.43,-583.9,-3479.01,2544.5
2017-01-01 06:00:00,-1248.94,6758.44,-3523.28,-738.3,-3818.55,2570.63
2017-01-01 07:00:00,-1369.27,6962.21,-3954.88,-568.3,-3889.85,2820.09
2017-01-01 08:00:00,-903.97,7099.19,-4100.42,-637.3,-4130.83,2673.33
2017-01-01 09:00:00,-782.89,6661.58,-4228.9,-358.9,-4045.51,2754.62
2017-01-01 10:00:00,-766.62,5977.91,-3871.89,-185.4,-4126.4,2972.4
2017-01-01 11:00:00,-324.32,4961.18,-3722.48,-84.4,-3805.12,2975.14
2017-01-01 12:00:00,225.35,4216.24,-3576.12,-93.9,-3628.11,2856.54
2017-01-01 13:00:00,590.32,3613.46,-3601.09,-96.2,-3125.47,2618.98
2017-01-01 14:00:00,594.79,3036.97,-3814.07,-198.1,-2034.51,2414.92
2017-01-01 15:00:00,596.75,1246.37,-3605.43,-239.7,-717.27,2719.28
2017-01-01 16:00:00,593.91,1664.2,-4049.63,-261.8,-652.81,2706.13
2017-01-01 17:00:00,595.27,538.0,-3692.86,-255.8,6.06,2809.33
2017-01-01 18:00:00,579.64,468.33,-3234.68,-254.1,-383.62,2824.43
2017-01-01 19:00:00,596.76,1766.22,-3531.28,-237.8,-1500.1,2906.2
2017-01-01 20:00:00,600.62,2386.0,-3553.54,-222.9,-1990.97,2780.79
2017-01-01 21:00:00,592.49,1975.56,-3448.67,-194.3,-1794.84,2869.76
