time,DE,GB,EU
2011-01-01 00:00:00,46209.0,34849.0,346814.0
2011-01-01 01:00:00,44236.0,34187.0,333431.0
2011-01-01 02:00:00,42502.0,32368.0,319280.0
2011-01-01 03:00:00,41479.0,30488.0,309577.0
2011-01-01 04:00:00,39923.0,28446.0,303697.0
2011-01-01 05:00:00,37054.0,27376.0,299295.0
2011-01-01 06:00:00,37075.0,27171.0,299930.0
2011-01-01 07:00:00,37694.0,26781.0,302623.0
2011-01-01 08:00:00,40026.0,27420.0,314992.0
2011-01-01 09:00:00,42757.0,30366.0,331491.0
2011-01-01 10:00:00,45760.0,33547.0,345170.0
2011-01-01 11:00:00,46897.0,36273.0,355604.0
2011-01-01 12:00:00,46277.0,37894.0,353642.0
2011-01-01 13:00:00,45775.0,38171.0,349601.0
2011-01-01 14:00:00,45682.0,38311.0,350350.0
2011-01-01 15:00:00,47270.0,38877.0,362047.0
2011-01-01 16:00:00,51397.0,41843.0,387990.0
2011-01-01 17:00:00,52165.0,43694.0,397313.0
2011-01-01 18:00:00,51343.0,42529.0,395070.0
2011-01-01 19:00:00,49536.0,40848.0,386903.0
2011-01-01 20:00:00,48873.0,39123.0,376689.0
2011-01-01 21:00:00,49465.0,37148.0,371078.0
2011-01-01 22:00:00,46970.0,35138.0,353670.0
2011-01-01 23:00:00,43949.0,33028.0,332454.0
2011-01-02 00:00:00,41708.0,33044.0,321497.0
2011-01-02 01:00:00,40489.0,31901.0,311267.0
2011-01-02 02:00:00,39711.0,30931.0,303732.0
2011-01-02 03:00:00,39407.0,30143.0,301417.0
2011-01-02 04:00:00,38394.0,28692.0,301438.0
2011-01-02 05:00:00,36450.0,28158.0,303981.0
2011-01-02 06:00:00,37746.0,28555.0,312389.0
2011-01-02 07:00:00,40223.0,28888.0,324416.0
2011-01-02 08:00:00,44044.0,30541.0,344555.0
2011-01-02 09:00:00,46999.0,34241.0,362304.0
2011-01-02 10:00:00,50112.0,37626.0,374392.0
2011-01-02 11:00:00,50307.0,39831.0,380782.0
2011-01-02 12:00:00,48296.0,40942.0,374417.0
2011-01-02 13:00:00,46952.0,40863.0,368849.0
2011-01-02 14:00:00,46659.0,40819.0,368503.0
2011-01-02 15:00:00,48578.0,41615.0,381541.0
2011-01-02 16:00:00,53431.0,45224.0,411283.0
2011-01-02 17:00:00,54407.0,46936.0,422953.0
2011-01-02 18:00:00,53168.0,45505.0,420437.0
2011-01-02 19:00:00,50724.0,43539.0,409557.0
2011-01-02 20:00:00,50277.0,41772.0,397540.0
2011-01-02 21:00:00,51200.0,39355.0,389307.0
2011-01-02 22:00:00,49244.0,37037.0,369802.0
2011-01-02 23:00:00,46273.0,34797.0,348900.0
2011-01-03 00:00:00,44234.0,34790.0,338060.0
2011-01-03 01:00:00,43111.0,33763.0,329236.0
2011-01-03 02:00:00,42779.0,32809.0,324101.0
2011-01-03 03:00:00,43867.0,31897.0,327353.0
2011-01-03 04:00:00,46307.0,30547.0,343309.0
2011-01-03 05:00:00,51555.0,30259.0,377119.0
2011-01-03 06:00:00,58542.0,31233.0,414140.0
2011-01-03 07:00:00,62594.0,31889.0,436463.0
2011-01-03 08:00:00,64472.0,33845.0,450651.0
2011-01-03 09:00:00,66161.0,37737.0,459373.0
2011-01-03 10:00:00,67000.0,40734.0,464296.0
2011-01-03 11:00:00,67258.0,42264.0,464357.0
2011-01-03 12:00:00,66368.0,43145.0,459614.0
2011-01-03 13:00:00,65330.0,43170.0,455808.0
2011-01-03 14:00:00,64734.0,43242.0,455963.0
2011-01-03 15:00:00,65613.0,44223.0,467524.0
2011-01-03 16:00:00,69109.0,48067.0,492720.0
2011-01-03 17:00:00,68835.0,50881.0,497359.0
2011-01-03 18:00:00,67118.0,49786.0,487278.0
2011-01-03 19:00:00,64188.0,47265.0,468042.0
2011-01-03 20:00:00,61785.0,44462.0,446022.0
2011-01-03 21:00:00,60913.0,41530.0,429825.0
2011-01-03 22:00:00,56578.0,37767.0,403891.0
2011-01-03 23:00:00,53791.0,34236.0,378222.0
2011-01-04 00:00:00,51514.0,34170.0,365763.0
2011-01-04 01:00:00,50075.0,33485.0,355908.0
2011-01-04 02:00:00,49481.0,32899.0,350200.0
2011-01-04 03:00:00,50019.0,32320.0,352164.0
2011-01-04 04:00:00,51521.0,31160.0,366012.0
2011-01-04 05:00:00,55831.0,31669.0,398571.0
2011-01-04 06:00:00,61880.0,36299.0,438870.0
2011-01-04 07:00:00,64991.0,41807.0,464882.0
2011-01-04 08:00:00,66961.0,45321.0,480616.0
2011-01-04 09:00:00,67626.0,47598.0,484981.0
2011-01-04 10:00:00,68240.0,48511.0,485808.0
2011-01-04 11:00:00,68360.0,49034.0,483581.0
2011-01-04 12:00:00,67358.0,49302.0,477315.0
2011-01-04 13:00:00,66057.0,49132.0,473454.0
2011-01-04 14:00:00,65566.0,49188.0,473701.0
2011-01-04 15:00:00,66396.0,49698.0,484508.0
2011-01-04 16:00:00,70076.0,52691.0,506992.0
2011-01-04 17:00:00,69970.0,53947.0,509096.0
2011-01-04 18:00:00,68342.0,53039.0,498533.0
2011-01-04 19:00:00,64959.0,50529.0,478049.0
2011-01-04 20:00:00,62536.0,47339.0,455176.0
2011-01-04 21:00:00,61755.0,43297.0,437130.0
2011-01-04 22:00:00,57878.0,39032.0,410760.0
2011-01-04 23:00:00,54769.0,35156.0,384885.0
2011-01-05 00:00:00,52656.0,34874.0,372109.0
2011-01-05 01:00:00,51264.0,34270.0,362407.0
2011-01-05 02:00:00,50627.0,33591.0,356262.0
2011-01-05 03:00:00,50937.0,32766.0,357298.0
2011-01-05 04:00:00,52934.0,31986.0,371514.0
2011-01-05 05:00:00,57267.0,32650.0,403228.0
2011-01-05 06:00:00,63364.0,37372.0,442216.0
2011-01-05 07:00:00,65790.0,43761.0,467912.0
2011-01-05 08:00:00,66732.0,46198.0,479568.0
2011-01-05 09:00:00,67573.0,47562.0,482746.0
2011-01-05 10:00:00,68326.0,48160.0,483759.0
2011-01-05 11:00:00,68081.0,48632.0,480809.0
2011-01-05 12:00:00,67380.0,48894.0,474998.0
2011-01-05 13:00:00,66027.0,48664.0,470552.0
2011-01-05 14:00:00,65346.0,49276.0,470574.0
2011-01-05 15:00:00,66447.0,50152.0,480464.0
2011-01-05 16:00:00,70702.0,53468.0,501169.0
2011-01-05 17:00:00,70611.0,54696.0,502602.0
2011-01-05 18:00:00,69169.0,53375.0,490953.0
2011-01-05 19:00:00,64867.0,51026.0,468852.0
2011-01-05 20:00:00,61291.0,47921.0,445200.0
2011-01-05 21:00:00,60534.0,43690.0,428758.0
2011-01-05 22:00:00,57031.0,39848.0,404232.0
2011-01-05 23:00:00,54049.0,36119.0,378712.0
2011-01-06 00:00:00,51821.0,35921.0,364582.0
2011-01-06 01:00:00,50071.0,35468.0,352982.0
2011-01-06 02:00:00,49080.0,34476.0,344867.0
2011-01-06 03:00:00,49227.0,33689.0,343161.0
2011-01-06 04:00:00,49486.0,32668.0,349742.0
2011-01-06 05:00:00,52149.0,33341.0,370432.0
2011-01-06 06:00:00,56847.0,38226.0,396924.0
